ZIP Code,County,SCAN Affirm,SCAN Inspired,SAN Allied,SCAN Strive ,SCAN Balance 
90262,Los Angeles,Yes,Yes,Yes,Yes,Yes
90263,Los Angeles,Yes,Yes,Yes,Yes,Yes
90264,Los Angeles,Yes,Yes,Yes,Yes,Yes
90265,Los Angeles,Yes,Yes,Yes,Yes,Yes
90266,Los Angeles,Yes,Yes,Yes,Yes,Yes
90267,Los Angeles,Yes,Yes,Yes,Yes,Yes
90270,Los Angeles,Yes,Yes,Yes,Yes,Yes
90272,Los Angeles,Yes,Yes,Yes,Yes,Yes
90274,Los Angeles,Yes,Yes,Yes,Yes,Yes
90275,Los Angeles,Yes,Yes,Yes,Yes,Yes
90277,Los Angeles,Yes,Yes,Yes,Yes,Yes
90278,Los Angeles,Yes,Yes,Yes,Yes,Yes
90280,Los Angeles,Yes,Yes,Yes,Yes,Yes
90290,Los Angeles,Yes,Yes,Yes,Yes,Yes
90291,Los Angeles,Yes,Yes,Yes,Yes,Yes
90292,Los Angeles,Yes,Yes,Yes,Yes,Yes
90293,Los Angeles,Yes,Yes,Yes,Yes,Yes
90294,Los Angeles,Yes,Yes,Yes,Yes,Yes
90295,Los Angeles,Yes,Yes,Yes,Yes,Yes
90296,Los Angeles,Yes,Yes,Yes,Yes,Yes
90301,Los Angeles,Yes,Yes,Yes,Yes,Yes
90302,Los Angeles,Yes,Yes,Yes,Yes,Yes
90303,Los Angeles,Yes,Yes,Yes,Yes,Yes
90304,Los Angeles,Yes,Yes,Yes,Yes,Yes
90305,Los Angeles,Yes,Yes,Yes,Yes,Yes
90306,Los Angeles,Yes,Yes,Yes,Yes,Yes
90307,Los Angeles,Yes,Yes,Yes,Yes,Yes
90308,Los Angeles,Yes,Yes,Yes,Yes,Yes
90309,Los Angeles,Yes,Yes,Yes,Yes,Yes
90310,Los Angeles,Yes,Yes,Yes,Yes,Yes
90311,Los Angeles,Yes,Yes,Yes,Yes,Yes
90312,Los Angeles,Yes,Yes,Yes,Yes,Yes
90313,Los Angeles,Yes,Yes,Yes,Yes,Yes
90397,Los Angeles,Yes,Yes,Yes,Yes,Yes
90398,Los Angeles,Yes,Yes,Yes,Yes,Yes
90401,Los Angeles,Yes,Yes,Yes,Yes,Yes
90402,Los Angeles,Yes,Yes,Yes,Yes,Yes
90403,Los Angeles,Yes,Yes,Yes,Yes,Yes
90404,Los Angeles,Yes,Yes,Yes,Yes,Yes
90405,Los Angeles,Yes,Yes,Yes,Yes,Yes
90406,Los Angeles,Yes,Yes,Yes,Yes,Yes
90407,Los Angeles,Yes,Yes,Yes,Yes,Yes
90408,Los Angeles,Yes,Yes,Yes,Yes,Yes
90409,Los Angeles,Yes,Yes,Yes,Yes,Yes
90410,Los Angeles,Yes,Yes,Yes,Yes,Yes
